Date,"Barbie"
2015-07,73290
2015-08,73959
2015-09,69350
2015-10,74547
2015-11,73820
2015-12,75809
2016-01,130122
2016-02,75932
2016-03,81147
2016-04,320162
2016-05,57629
2016-06,54055
2016-07,56065
2016-08,55540
2016-09,54759
2016-10,57661
2016-11,70682
2016-12,74672
2017-01,64108
2017-02,87935
2017-03,75363
2017-04,55720
2017-05,54116
2017-06,51899
2017-07,54549
2017-08,52347
2017-09,51144
2017-10,60124
2017-11,58038
2017-12,66878
2018-01,66737
2018-02,52088
2018-03,74609
2018-04,78717
2018-05,62665
2018-06,56165
2018-07,59222
2018-08,53000
2018-09,47445
2018-10,52572
2018-11,52367
2018-12,59118
2019-01,56864
2019-02,46430
2019-03,86438
2019-04,56466
2019-05,54761
2019-06,49850
2019-07,52142
2019-08,48107
2019-09,48510
2019-10,52600
2019-11,58588
2019-12,63344
2020-01,59038
2020-02,46863
2020-03,54785
2020-04,59432
2020-05,60679
2020-06,51849
2020-07,65658
2020-08,58331
2020-09,45635
2020-10,53057
2020-11,48952
2020-12,53874
2021-01,51909
2021-02,44596
2021-03,58473
2021-04,45225
2021-05,43932
2021-06,105023
2021-07,306132
2021-08,413870
2021-09,300133
2021-10,72969
2021-11,39524
2021-12,51824
2022-01,44367
2022-02,46207
2022-03,63742
2022-04,55331
2022-05,48891
2022-06,72531
2022-07,61005
2022-08,49430
2022-09,48270
2022-10,45230
2022-11,42748
2022-12,69008
2023-01,48117
2023-02,47184
2023-03,61553
2023-04,146683
2023-05,86279
2023-06,113464
2023-07,1702903
2023-08,776834
2023-09,270595
2023-10,153024
2023-11,127958
2023-12,239511
2024-01,186925
2024-02,97297
2024-03,122028
2024-04,75021
2024-05,69984
2024-06,60077
2024-07,66638
2024-08,56427
2024-09,47365
2024-10,51291
2024-11,49111
2024-12,71192
2025-01,61808
2025-02,45821
2025-03,63088
2025-04,50544
2025-05,49905
2025-06,46371
2025-07,51256
2025-08,53475
2025-09,47412
2025-10,46478
2025-11,39848
2025-12,48606
2026-01,49004
2026-02,38977
2026-03,50395
