Date,"Grunge"
2015-07,53242
2015-08,54362
2015-09,53083
2015-10,56076
2015-11,55170
2015-12,64829
2016-01,58438
2016-02,55736
2016-03,56657
2016-04,58833
2016-05,59033
2016-06,47105
2016-07,46497
2016-08,51007
2016-09,54068
2016-10,55436
2016-11,53340
2016-12,55690
2017-01,57220
2017-02,56207
2017-03,60107
2017-04,61099
2017-05,156486
2017-06,61459
2017-07,58981
2017-08,50714
2017-09,49528
2017-10,54516
2017-11,51459
2017-12,51956
2018-01,55707
2018-02,49021
2018-03,53874
2018-04,53097
2018-05,55716
2018-06,46936
2018-07,47882
2018-08,52293
2018-09,47158
2018-10,49423
2018-11,47875
2018-12,47707
2019-01,49559
2019-02,47836
2019-03,55689
2019-04,55677
2019-05,51636
2019-06,44990
2019-07,46581
2019-08,52418
2019-09,46234
2019-10,47509
2019-11,44987
2019-12,43821
2020-01,45661
2020-02,42585
2020-03,46083
2020-04,57502
2020-05,54813
2020-06,44910
2020-07,44520
2020-08,47248
2020-09,46847
2020-10,56661
2020-11,58578
2020-12,62245
2021-01,57158
2021-02,49699
2021-03,57467
2021-04,58556
2021-05,59026
2021-06,51041
2021-07,66284
2021-08,68561
2021-09,67828
2021-10,64374
2021-11,56543
2021-12,55989
2022-01,60873
2022-02,60225
2022-03,64739
2022-04,64931
2022-05,60449
2022-06,54508
2022-07,57948
2022-08,66303
2022-09,62201
2022-10,61940
2022-11,57723
2022-12,56083
2023-01,60568
2023-02,55909
2023-03,63875
2023-04,61754
2023-05,60046
2023-06,55800
2023-07,58752
2023-08,56299
2023-09,53198
2023-10,54515
2023-11,52518
2023-12,53995
2024-01,60513
2024-02,55091
2024-03,56949
2024-04,60848
2024-05,56931
2024-06,48497
2024-07,48246
2024-08,52073
2024-09,55673
2024-10,54347
2024-11,49671
2024-12,48283
2025-01,50409
2025-02,48646
2025-03,52260
2025-04,50009
2025-05,52143
2025-06,42842
2025-07,46630
2025-08,47241
2025-09,43406
2025-10,46783
2025-11,43210
2025-12,42249
2026-01,48898
2026-02,41325
2026-03,42211
