trend,cluster,true_label
Fairycore,0,Macro
EMOfashio,0,Macro
Bomber jacket,0,Macro
y2kaesthetic,0,Macro
disco fashion,0,Macro
Cottagecore,0,Macro
Euphoriafashion,0,Macro
mini skirts,0,Macro
PENDULUMTOPS,0,Macro
chokers,0,Macro
Cleangirl,0,Macro
Darkacademia,0,Macro
Normcore,0,Macro
Bikeshorts,0,Macro
tiedye,0,Macro
SKINNYJEANS,1,Mega
jeggins,1,Mega
INDIE,0,Mega
Tumblr Grunge,0,Mega
ripepdjeans,1,Mega
flaredjeans,0,Mega
hipster fashion,0,Mega
MAXI dress,0,Mega
Skaterfashion,0,Mega
streetwear,1,Mega
MOMJEANS,0,Mega
TUMBLR,0,Mega
Pastelgrunge,0,Mega
70sfashion,1,Mega
boyfriend jeans,1,Mega
barbiecore,2,Micro
officesiren,0,Micro
softgirlaesthetic,0,Micro
SCENEFASHION,0,Micro
chunkyshoes,0,Micro
coastalgrandmother,2,Micro
goblincore,0,Micro
vsco,2,Micro
ivyleague,2,Micro
bimbocore,0,Micro
Brat summer,2,Micro
galaxyprint,2,Micro
blokecore,0,Micro
BuisnessCausal,2,Micro
teddycoat,0,Micro
